SNID,norm_MJD,1stDet,MJD,BAND_r,BAND_i,BAND_g
b'1027622',59200,59189.37,59200.31,14.923209190368652,14.965590476989746,15.015827178955078
b'1027622',59212,59189.37,59212.33,15.019966125488281,14.90947151184082,15.646557807922363
b'1027622',59216,59189.37,59216.22333333333,15.268308639526367,15.078605651855469,16.022972106933594
b'1027622',59219,59189.37,59219.27,15.47944164276123,15.254709243774414,16.29327392578125
b'1028920',59312,59305.285,59312.38,18.235027313232422,18.039371490478516,19.125507354736328
b'1028920',59313,59305.29,59313.3362,18.292451858520508,18.08592414855957,19.207725524902344
b'1028920',59314,59305.285,59314.29,18.38723373413086,18.181198120117188,19.31667709350586
b'1028920',59315,59305.285,59315.236666666664,18.44280242919922,18.151103973388672,19.464649200439453
b'1028920',59316,59305.285,59316.41,18.522798538208008,18.26650619506836,19.512300491333008
b'1028920',59317,59305.29,59317.230200000005,18.54851531982422,18.33759307861328,19.48308563232422
b'1028920',59318,59305.285,59318.2475,18.589731216430664,18.350826263427734,19.461742401123047
b'1028920',59319,59305.285,59319.2475,18.64829444885254,18.406776428222656,19.52356719970703
b'1028920',59320,59305.29,59320.2476,18.69569206237793,18.439085006713867,19.524309158325195
b'1028920',59321,59305.285,59321.25,18.73116111755371,18.4699764251709,19.59525489807129
b'1028920',59322,59305.285,59322.24483333333,18.793514251708984,18.495891571044922,19.65691566467285
b'1028920',59324,59305.285,59324.23416666667,18.854564666748047,18.575546264648438,19.726606369018555
b'1028920',59328,59305.285,59328.277,18.877927780151367,18.68926239013672,19.69205093383789
b'1028920',59332,59305.285,59332.3,19.053504943847656,18.815208435058594,19.851810455322266
b'1028920',59333,59305.285,59333.32,19.04822540283203,18.780078887939453,19.892738342285156
b'1028920',59334,59305.285,59334.32833333333,19.07516098022461,18.852092742919922,19.853883743286133
b'1029367',59353,59347.26,59353.305,19.423091888427734,19.62583351135254,19.507369995117188
b'1029367',59354,59347.26,59354.328,19.42673110961914,19.381372451782227,19.33042335510254
b'1029367',59357,59347.26,59357.31,19.361602783203125,19.28376007080078,19.370037078857422
b'1029367',59359,59347.26,59359.29,19.52901840209961,19.4196834564209,19.854469299316406
b'1029367',59362,59347.26,59362.345,19.49983024597168,19.437175750732422,19.61173439025879
b'1029367',59363,59347.26,59363.313833333326,19.463117599487305,19.45647430419922,19.816150665283203
b'1029367',59364,59347.26,59364.26,19.4417781829834,19.522598266601562,19.794727325439453
b'1029367',59367,59347.26,59367.259,19.509763717651367,19.481487274169922,19.64303970336914
b'1029367',59372,59347.26,59372.265,19.788171768188477,19.516942977905273,20.21999740600586
b'1029367',59374,59347.26,59374.2675,19.765642166137695,19.59360694885254,20.11704444885254
b'1030339',59129,59127.387,59129.43659999999,17.758543014526367,17.808034896850586,17.729598999023438
b'1030339',59131,59127.387,59131.4874,16.940940856933594,17.035799026489258,16.945329666137695
b'1030339',59132,59127.387,59132.55,16.713102340698242,16.830665588378906,16.72571563720703
b'1030339',59134,59127.387,59134.10966666666,16.516305923461914,16.589553833007812,16.525381088256836
b'1030339',59135,59127.387,59135.42,16.392528533935547,16.499061584472656,16.458492279052734
b'1030339',59136,59127.387,59136.41966666666,16.335716247558594,16.407560348510742,16.41446876525879
b'1030339',59138,59127.387,59138.380833333336,16.240015029907227,16.308218002319336,16.37135124206543
b'1030339',59139,59127.387,59139.38,16.201187133789062,16.243019104003906,16.33470916748047
b'1030339',59140,59127.387,59140.357166666676,16.199424743652344,16.196699142456055,16.36956214904785
b'1030339',59142,59127.387,59142.3412,16.151405334472656,16.147279739379883,16.428871154785156
b'1030339',59143,59127.387,59143.3775,16.170989990234375,16.15026092529297,16.43136215209961
b'1030339',59144,59127.387,59144.407400000004,16.17710304260254,16.144664764404297,16.524734497070312
b'1030339',59145,59127.387,59145.37,16.178951263427734,16.152538299560547,16.558815002441406
b'1030339',59146,59127.387,59146.33533333333,16.21784019470215,16.157821655273438,16.650615692138672
b'1030339',59147,59127.387,59147.48,16.260128021240234,16.196809768676758,16.731664657592773
b'1030339',59148,59127.387,59148.53,16.312732696533203,16.204853057861328,16.853069305419922
b'1030339',59156,59127.387,59156.4456,16.79023551940918,16.57240104675293,17.606983184814453
b'1031288',59220,59215.49,59220.63,17.832542419433594,17.92852020263672,18.115890502929688
b'1031288',59221,59215.49,59221.56716666667,17.809799194335938,17.930908203125,18.142515182495117
b'1031288',59222,59215.49,59222.58,17.849559783935547,17.961259841918945,18.130908966064453
b'1031288',59226,59215.49,59226.63,17.891393661499023,17.886817932128906,18.305362701416016
b'1031288',59228,59215.49,59228.662500000006,17.92532730102539,17.948305130004883,18.34573745727539
b'1031288',59230,59215.49,59230.1705,17.962421417236328,17.974830627441406,18.383583068847656
b'1031288',59231,59215.49,59231.473,18.03673553466797,17.984760284423828,18.493125915527344
b'1031288',59235,59215.49,59235.47,18.276395797729492,18.07195281982422,19.038047790527344
b'1031979',59220,59217.44,59220.63,20.82819366455078,21.273548126220703,20.763486862182617
b'1031979',59221,59217.445,59221.556599999996,20.76785659790039,20.954103469848633,20.777996063232422
b'1031979',59222,59217.44,59222.579999999994,20.8327579498291,20.684417724609375,20.822511672973633
b'1031979',59226,59217.44,59226.63,20.873554229736328,20.876474380493164,20.88743782043457
b'1031979',59228,59217.44,59228.66333333333,20.83733367919922,20.895530700683594,20.75018310546875
b'1032952',59315,59315.2,59315.236666666664,19.219213485717773,19.251644134521484,18.779827117919922
b'1032952',59316,59315.2,59316.41,18.04446792602539,18.148906707763672,17.761186599731445
b'1032952',59317,59315.2,59317.230200000005,17.51994514465332,17.53774642944336,17.306882858276367
b'1032952',59318,59315.2,59318.2475,17.066329956054688,17.12053871154785,16.874284744262695
b'1032952',59319,59315.2,59319.2475,16.786136627197266,16.800586700439453,16.621074676513672
b'1032952',59320,59315.2,59320.265,16.60927391052246,16.60974884033203,16.5228214263916
b'1032952',59321,59315.2,59321.25,16.508861541748047,16.496265411376953,16.40273666381836
b'1032952',59322,59315.2,59322.2564,16.442581176757812,16.408981323242188,16.404766082763672
b'1032952',59337,59315.2,59337.27,16.516565322875977,16.46871566772461,16.69536590576172
b'1032952',59338,59315.2,59338.27,16.510761260986328,16.451847076416016,16.72673797607422
b'1032952',59343,59315.2,59343.24025,16.55619239807129,16.480833053588867,16.8973445892334
b'1034984',59183,59182.36,59183.39,13.382798194885254,13.660582542419434,12.97548770904541
b'1034984',59184,59182.36,59184.244666666666,inf,13.518691062927246,12.791790962219238
b'1034984',59185,59182.36,59185.23,inf,inf,inf
b'1034984',59187,59182.36,59187.42,inf,inf,inf
b'1034984',59188,59182.36,59188.295000000006,inf,inf,inf
b'1034984',59189,59182.36,59189.37,inf,inf,inf
b'1034984',59190,59182.363,59190.342599999996,inf,inf,inf
b'1034984',59191,59182.36,59191.3925,inf,inf,inf
b'1034984',59192,59182.36,59192.37,inf,inf,inf
b'1034984',59193,59182.36,59193.280166666664,inf,inf,inf
b'1034984',59194,59182.36,59194.332500000004,inf,inf,inf
b'1034984',59195,59182.36,59195.27033333333,inf,inf,inf
b'1034984',59198,59182.36,59198.3,inf,inf,inf
b'1034984',59199,59182.36,59199.278,inf,inf,inf
b'1034984',59200,59182.36,59200.31,inf,inf,inf
b'1034984',59212,59182.36,59212.33,12.978631973266602,inf,13.105167388916016
b'1037816',59243,59243.22,59243.2275,15.631673812866211,15.679673194885254,15.858506202697754
b'1037816',59246,59243.22,59246.23,15.050313949584961,15.106196403503418,15.21507453918457
b'1037816',59252,59243.22,59252.2152,14.243496894836426,14.312057495117188,14.422979354858398
b'1037816',59255,59243.22,59255.23,14.017587661743164,14.144515991210938,14.24539566040039
b'1037816',59258,59243.22,59258.23,13.897977828979492,14.030380249023438,14.223220825195312
b'1037816',59267,59243.22,59267.23,14.110193252563477,14.034632682800293,14.766077995300293
b'1037816',59272,59243.22,59272.235,14.3472900390625,14.185283660888672,15.193915367126465
b'1038104',59183,59174.26,59183.39,15.671022415161133,15.60858154296875,15.612635612487793
b'1038104',59184,59174.26,59184.244666666666,15.679677963256836,15.59365177154541,15.628362655639648
b'1038104',59185,59174.26,59185.23,15.703512191772461,15.583490371704102,15.629401206970215
b'1038104',59187,59174.26,59187.42,15.717790603637695,15.605530738830566,15.666999816894531
b'1038104',59188,59174.26,59188.295000000006,15.733541488647461,15.616901397705078,15.724247932434082
b'1038104',59189,59174.26,59189.37,15.744152069091797,15.618371963500977,15.727654457092285
b'1038104',59190,59174.26,59190.342599999996,15.762072563171387,15.666067123413086,15.748069763183594
b'1038104',59191,59174.26,59191.3925,15.74347972869873,15.672588348388672,15.782695770263672
b'1038104',59192,59174.26,59192.37,15.768342018127441,15.683393478393555,15.83515739440918
b'1038104',59193,59174.26,59193.280166666664,15.778757095336914,15.729341506958008,15.838055610656738
b'1038104',59194,59174.26,59194.332500000004,15.785407066345215,15.728997230529785,15.869158744812012
b'1038104',59195,59174.26,59195.27033333333,15.815285682678223,15.773052215576172,15.891670227050781
b'1038104',59198,59174.26,59198.3,15.84110164642334,15.784708023071289,16.016382217407227
b'1038104',59199,59174.26,59199.278,15.865269660949707,15.812395095825195,16.05063247680664
b'1038104',59200,59174.26,59200.31,15.87899112701416,15.820246696472168,16.080032348632812
b'1042393',59246,59246.23,59246.23,20.21045684814453,20.774465560913086,20.033615112304688
b'1042393',59255,59246.23,59255.23,21.15404510498047,20.825878143310547,21.152769088745117
b'1043067',59312,59307.16,59312.38,15.491874694824219,15.47146987915039,15.43815803527832
b'1043067',59313,59307.164,59313.3362,15.48277759552002,15.416823387145996,15.391481399536133
b'1043067',59314,59307.16,59314.29,15.464691162109375,15.375894546508789,15.418371200561523
b'1043067',59315,59307.16,59315.236666666664,15.476755142211914,15.37122631072998,15.434161186218262
b'1043067',59316,59307.16,59316.41,15.469803810119629,15.336518287658691,15.439001083374023
b'1043067',59317,59307.164,59317.230200000005,15.466891288757324,15.356204986572266,15.441625595092773
b'1043067',59318,59307.16,59318.2475,15.473628997802734,15.36012077331543,15.454625129699707
b'1043067',59319,59307.16,59319.2475,15.511089324951172,15.371857643127441,15.487218856811523
b'1043067',59320,59307.164,59320.2476,15.489742279052734,15.367060661315918,15.492094039916992
b'1043067',59321,59307.16,59321.25,15.502301216125488,15.413899421691895,15.547785758972168
b'1043067',59322,59307.16,59322.24483333333,15.520811080932617,15.424681663513184,15.542030334472656
b'1043067',59324,59307.16,59324.23416666667,15.513154983520508,15.459260940551758,15.591045379638672
b'1043067',59328,59307.16,59328.277,15.550355911254883,15.493575096130371,15.705877304077148
b'1043067',59332,59307.16,59332.3,15.603209495544434,15.536506652832031,15.850212097167969
b'1043067',59333,59307.16,59333.32,15.628429412841797,15.551358222961426,15.916391372680664
b'1043067',59334,59307.16,59334.32833333333,15.644372940063477,15.570402145385742,15.940369606018066
b'1043067',59335,59307.16,59335.41,15.66565990447998,15.58275032043457,15.97604751586914
b'1043804',59160,59158.43,59160.44,18.734390258789062,18.736038208007812,18.858482360839844
